Ciudad,Porcentaje,Valor Bruto,IVA,Descuento,Venta Neta
Cundinamarca,8.112197059,46790224.63,0,467902.2463,46322322.38
Medellín,7.243299638,20412011.41,0,204120.1141,20207891.3
Cali,7.138126557,46237183.24,0,462371.8324,45774811.41
Barranquilla,6.558510769,22775129.19,0,227751.2919,22547377.9
Cartagena,6.010182527,22830419.81,0,228304.1981,22602115.61
Cúcuta,5.725503036,37930255.83,0,379302.5583,37550953.27
Soledad,5.157227543,8535191.572,0,85351.91572,8449839.657
Ibagué,5.014265881,39774856.36,0,397748.5636,39377107.8
Bucaramanga,4.96463469,39225190.08,0,392251.9008,38832938.18
Soacha,4.891495638,5377564.335,0,53775.64335,5323788.692
Villavicencio,4.846188863,44121440.9,0,441214.409,43680226.49
Santa Marta,4.502074903,28416771.58,0,284167.7158,28132603.86
Pereira,3.885668623,48934629.43,0,489346.2943,48445283.14
Bello,3.85553519,37473805.71,0,374738.0571,37099067.65
Valledupar,3.840568825,6117495.538,0,61174.95538,6056320.583
Montería,3.732265929,46147935.82,0,461479.3582,45686456.46
Pasto,3.133806561,18839961.28,0,188399.6128,18651561.66
Buenaventura,2.805335753,11036225.83,0,110362.2583,10925863.57
Manizales,2.653050709,27821461.84,0,278214.6184,27543247.22
Neiva,2.043217529,19506984.8,0,195069.848,19311914.95
Palmira,1.373066411,49162322.27,0,491623.2227,48670699.05
Armenia,1.190514294,3640714.212,0,36407.14212,3604307.07
Popayán,0.783515271,24047794.6,0,240477.946,23807316.65
Sincelejo,0.450176511,3726887.324,0,37268.87324,3689618.451
Itaguí,0.08957129,28618092.43,0,286180.9243,28331911.5
